CODE,Group,purity,TMB,HRD,LOH,MATH,MSI,NEO,ploidy,SampleName
BLCA,Tumor,0.8,7.08,36,0.203286015,57.81446657,0.3244,16,4.57,TCGA-H4-A2HQ-01
BLCA,Tumor,0.61,4.1,40,0.210025425,49.19257248,0.3043,56,3.04,TCGA-G2-A2EF-01
BLCA,Tumor,0.37,7.48,27,0.059208265,43.74837465,0.3126,19,3.64,TCGA-UY-A9PF-01
BLCA,Tumor,0.26,1.02,30,0.161920462,52.2211336,0.3239,16,4.36,TCGA-XF-A9SU-01
BLCA,Tumor,0.72,3.52,34,0.167074252,23.77972153,0.341,5,1.98,TCGA-5N-A9KM-01
BLCA,Tumor,0.8,1.16,14,0.082412596,28.15699858,0.3211,0,2.11,TCGA-DK-AA6T-01
BLCA,Tumor,0.67,7.5,48,0.285852388,70.71062324,0.3413,9,5.96,TCGA-E5-A4TZ-01
BLCA,Tumor,0.5,2.94,39,0.053216575,77.42706105,0.2928,18,5.9,TCGA-FD-A43N-01
BLCA,Tumor,0.58,2.92,31,0.129939957,37.8212081,0.3453,18,3.55,TCGA-5N-A9KI-01
BLCA,Tumor,0.32,2.02,19,0.237726444,52.74794613,0.3293,4,2.13,TCGA-FD-A3SP-01
BLCA,Tumor,0.88,1.04,4,0.054642986,20.00435171,0.3462,9,2.21,TCGA-XF-AAMH-01
BLCA,Tumor,0.3,1.42,32,0.321856239,44.09039216,0.307,1,3.29,TCGA-DK-A2I2-01
BLCA,Tumor,0.93,4.02,23,0.12609165,48.77049774,0.3385,1,3.76,TCGA-KQ-A41O-01
BLCA,Tumor,0.83,1.4,60,0.467906363,71.86818725,0.3511,8,2.8,TCGA-DK-A3IM-01
BLCA,Tumor,0.29,3.98,41,0.365761965,51.49356643,0.3387,7,2.88,TCGA-4Z-AA7Q-01
BLCA,Tumor,0.54,4.62,54,0.231829868,53.06540717,0.312,2,5.13,TCGA-DK-A2I6-01
BLCA,Tumor,0.52,14.28,28,0.204857797,35.05331213,0.3121,1,3.59,TCGA-DK-A6B6-01
BLCA,Tumor,0.69,1.68,5,0.16717132,32.52665335,0.322,4,1.98,TCGA-CU-A72E-01
BLCA,Tumor,0.31,2.7,22,0.117338342,51.41676768,0.308,11,3.83,TCGA-FT-A61P-01
BLCA,Tumor,0.35,2.96,26,0.264899957,44.9651185,0.3002,1,1.84,TCGA-DK-A3IQ-01
BLCA,Tumor,0.78,4.12,15,0.116881811,36.63836341,0.3186,30,3.35,TCGA-UY-A78N-01
BLCA,Tumor,0.94,4.68,7,0.058125403,23.58037924,0.3253,15,2.02,TCGA-4Z-AA7Y-01
BLCA,Tumor,0.54,1.14,21,0.106402626,42.36,0.2933,1,2.06,TCGA-G2-A2EK-01
BLCA,Tumor,0.57,5.94,18,0.233516924,31.75125664,0.331,11,1.85,TCGA-FD-A3SO-01
BLCA,Tumor,0.38,2.64,21,0.178831975,27.19520504,0.3029,0,2.04,TCGA-GC-A3WC-01
BLCA,Tumor,0.6,8.44,46,0.169285824,52.03948844,0.3448,21,3.43,TCGA-4Z-AA7M-01
BLCA,Tumor,0.76,3.12,7,0.433211773,42.98179817,0.3391,5,2.47,TCGA-BL-A3JM-01
BLCA,Tumor,0.88,1.02,14,0.057757363,49.27459719,0.3297,1,3.78,TCGA-ZF-AA4U-01
BLCA,Tumor,0.22,2.8,39,0.072608691,56.47585718,0.3233,62,3.51,TCGA-ZF-AA53-01
BLCA,Tumor,0.73,2.24,9,0.086644582,34.87731257,0.3177,8,1.97,TCGA-CF-A9FF-01
BLCA,Tumor,0.56,1.24,29,0.280640423,36.71981229,0.337,0,1.93,TCGA-DK-A3IV-01
BLCA,Tumor,0.85,1.16,4,0.0106517,16.27773506,0.2779,8,2.02,TCGA-FJ-A3Z9-01
BLCA,Tumor,0.56,1.96,27,0.346099441,44.76617292,0.3377,11,1.69,TCGA-XF-AAMT-01
BLCA,Tumor,0.29,0.76,22,0.207688587,50.31666585,0.2768,3,5.67,TCGA-BT-A0S7-01
BLCA,Tumor,0.49,2.54,30,0.40076018,61.17020979,0.32,3,1.8,TCGA-FD-A5C1-01
BLCA,Tumor,0.62,1.38,31,0.165800792,29.652,0.3016,7,2.04,TCGA-FD-A3B4-01
BLCA,Tumor,0.66,5.52,33,0.130566903,54.8830311,0.2433,41,3.2,TCGA-FD-A3N5-01
BLCA,Tumor,0.28,3.62,44,0.217202545,54.27375,0.3293,0,2.98,TCGA-4Z-AA86-01
BLCA,Tumor,0.84,3.06,12,0.141409351,23.79481481,0.3371,5,1.89,TCGA-4Z-AA7O-01
BLCA,Tumor,0.5,9.76,23,0.233327112,46.21014653,0.3058,45,3.02,TCGA-BT-A2LB-01
BLCA,Tumor,0.54,2.36,30,0.288544734,50.50615385,0.332,48,3.32,TCGA-GV-A3QF-01
BLCA,Tumor,0.35,4.82,47,0.295313311,53.78058824,0.3199,0,2.87,TCGA-E7-A7DV-01
